	NNP	,	CD	NNS	JJ	MD	VB	DT	NN	IN	.	VBZ	VBG	CC	VBD	VBN	RB	TO	PRP	RBR	WDT	VBP	RP	PRP$	JJS	POS	``	EX	''	WP	:	JJR	WRB	$	NNPS	WP$	(	)	PDT	RBS	FW	UH	SYM	LS	#
VBD	16.0	0	1.0	2.0	5.0	0	5.0	0	17.0	0	0	16.0	16.0	0	1343.0	96.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN	12.0	0	13.0	9.0	63.0	0	14.0	0	19.0	0	0	1.0	30.0	0	53.0	796.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB	25.0	0	3.0	3.0	42.0	0	4.0	4.0	22.0	60.0	0	4.0	4.0	3.0	3.0	14.0	1237.0	0	0	4.0	0	2.0	24.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1014.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	924.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	7.0	0	0	44.0	0	0	0	0	0	0	0	0	0	0	0	32.0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDT	1.0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	178.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP	3.0	0	2.0	3.0	1.0	0	57.0	0	38.0	0	0	7.0	5.0	0	6.0	4.0	0	0	0	0	0	591.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0	0	0	0	0	0	0	0	0	24.0	0	0	0	0	0	0	12.0	0	0	0	0	0	98.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	403.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	1.0	0	0	0	5.0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	0
POS	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	395.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
``	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	47.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	392.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0	0	1.0	0	7.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	28.0	0	0	0	0	0	0	0	0	0	0	0	117.0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRB	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.0	0	0	0	0	0	0	0	0	0	0	0	0
$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336.0	0	0	0	0	0	0	0	0	0	0	0
NNPS	49.0	0	1.0	10.0	3.0	0	0	0	12.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0
WP$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0
(	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.0	0	0	0	0	0	0	0	0
)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.0	0	0	0	0	0	0	0
PDT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	0	0
RBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0
FW	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UH	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYM	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LS	0	0	5.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	3.0	0
#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
